,cate_name,book_title,book_author,book_publisher,book_pubdate
0,에세이,당신은 결국 무엇이든 해내는 사람,김상현,필름(Feelm),2022년 04월 20일
1,에세이,나에게 고맙다(30만 부 기념 전면 개정판),전승환,북로망스,2022년 02월 18일
